"FID","SUBTYPE","JURISDICTI","OWNER","LOCAL_ID","FACILITYID","Lat","Long","Subbasin","Shape_Le_2","Shape_Area"
"35730.0","0.0"," ","City of Grand Haven DPW","45240"," ","43.0518895237","-86.2057029664","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35731.0","0.0"," ","City of Grand Haven DPW","45241"," ","43.0518938906","-86.2055713972","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35732.0","0.0"," ","City of Grand Haven DPW","45242"," ","43.052720933","-86.2056033436","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35733.0","0.0"," ","City of Grand Haven DPW","45243"," ","43.0527202","-86.2057373708","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35734.0","0.0"," ","City of Grand Haven DPW","45244"," ","43.053000013","-86.2057846613","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35735.0","0.0"," ","City of Grand Haven DPW","45245"," ","43.0530953181","-86.2058056136","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35736.0","0.0"," ","City of Grand Haven DPW","45246"," ","43.053116216","-86.2055514415","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35737.0","0.0"," ","City of Grand Haven DPW","45247"," ","43.052979904","-86.2055473811","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35738.0","0.0"," ","City of Grand Haven DPW","45248"," ","43.0531286973","-86.2006778304","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35739.0","0.0"," ","City of Grand Haven DPW","45249"," ","43.0530317893","-86.2007051913","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35740.0","0.0"," ","City of Grand Haven DPW","45250"," ","43.0533973681","-86.2057575053","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35741.0","0.0"," ","City of Grand Haven DPW","45251"," ","43.0533967149","-86.2056249524","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35742.0","0.0"," ","City of Grand Haven DPW","45252"," ","43.0547762363","-86.2058031519","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35743.0","0.0"," ","City of Grand Haven DPW","45253"," ","43.0547765108","-86.2056775088","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
